,ID,instrument,granularity,timestamp,volume,open,high,low,close,complete,dateYYYMMDD,timeHHMMSS,year,month,day,hour,minute,second
492,EUR_USD|H1|20180924|160000,EUR_USD,H1,2018-09-24 16:00:00,1154,1.17735,1.17765,1.17654,1.17660,True,20180924,160000,2018,09,24,16,00,00
493,EUR_USD|H1|20180924|170000,EUR_USD,H1,2018-09-24 17:00:00,1143,1.17660,1.17665,1.17535,1.17596,True,20180924,170000,2018,09,24,17,00,00
494,EUR_USD|H1|20180924|180000,EUR_USD,H1,2018-09-24 18:00:00,782,1.17596,1.17616,1.17552,1.17589,True,20180924,180000,2018,09,24,18,00,00
495,EUR_USD|H1|20180924|190000,EUR_USD,H1,2018-09-24 19:00:00,645,1.17589,1.17605,1.17451,1.17465,True,20180924,190000,2018,09,24,19,00,00
496,EUR_USD|H1|20180924|200000,EUR_USD,H1,2018-09-24 20:00:00,475,1.17465,1.17523,1.17460,1.17484,True,20180924,200000,2018,09,24,20,00,00
497,EUR_USD|H1|20180924|210000,EUR_USD,H1,2018-09-24 21:00:00,1090,1.17484,1.17581,1.17482,1.17520,True,20180924,210000,2018,09,24,21,00,00
498,EUR_USD|H1|20180924|220000,EUR_USD,H1,2018-09-24 22:00:00,457,1.17520,1.17521,1.17467,1.17509,True,20180924,220000,2018,09,24,22,00,00
499,EUR_USD|H1|20180924|230000,EUR_USD,H1,2018-09-24 23:00:00,385,1.17509,1.17549,1.17498,1.17538,True,20180924,230000,2018,09,24,23,00,00
500,EUR_USD|H1|20180925|000000,EUR_USD,H1,2018-09-25 00:00:00,814,1.17538,1.17597,1.17519,1.17527,True,20180925,000000,2018,09,25,00,00,00
501,EUR_USD|H1|20180925|010000,EUR_USD,H1,2018-09-25 01:00:00,825,1.17527,1.17568,1.17418,1.17432,True,20180925,010000,2018,09,25,01,00,00
502,EUR_USD|H1|20180925|020000,EUR_USD,H1,2018-09-25 02:00:00,1212,1.17432,1.17434,1.17316,1.17390,True,20180925,020000,2018,09,25,02,00,00
503,EUR_USD|H1|20180925|030000,EUR_USD,H1,2018-09-25 03:00:00,549,1.17390,1.17419,1.17353,1.17411,True,20180925,030000,2018,09,25,03,00,00
504,EUR_USD|H1|20180925|040000,EUR_USD,H1,2018-09-25 04:00:00,589,1.17411,1.17443,1.17380,1.17420,True,20180925,040000,2018,09,25,04,00,00
505,EUR_USD|H1|20180925|050000,EUR_USD,H1,2018-09-25 05:00:00,872,1.17420,1.17495,1.17399,1.17495,True,20180925,050000,2018,09,25,05,00,00
506,EUR_USD|H1|20180925|060000,EUR_USD,H1,2018-09-25 06:00:00,2907,1.17495,1.17663,1.17446,1.17613,True,20180925,060000,2018,09,25,06,00,00
507,EUR_USD|H1|20180925|070000,EUR_USD,H1,2018-09-25 07:00:00,3773,1.17613,1.17750,1.17444,1.17699,True,20180925,070000,2018,09,25,07,00,00
508,EUR_USD|H1|20180925|080000,EUR_USD,H1,2018-09-25 08:00:00,4804,1.17699,1.17707,1.17343,1.17614,True,20180925,080000,2018,09,25,08,00,00
